"","x"
"97","LINGUA INGLESE (STUDENTI OUTGOING)"
"98","LINGUA SPAGNOLA"
"99","LINGUA SPAGNOLA (STUDENTI OUTGOING)"
"100","LINGUA STRANIERA: INGLESE B"
"101","LINGUA TEDESCA (STUDENTI OUTGOING)"
"102","LINGUAGGI E MODELLI COMPUTAZIONALI M"
"103","LOGICHE RICONFIGURABILI M"
"104","MATEMATICA APPLICATA L-A"
"105","MATEMATICA COMPUTAZIONALE"
"106","MATEMATICA DISCRETA M"
"107","METODI NUMERICI PER L'INGEGNERIA M"
"108","METODI NUMERICI PER LA GRAFICA M"
"109","METODI PER LA GESTIONE DEI PROGETTI COMPLESSI M"
"110","METODOLOGIE DI PROGETTAZIONE HARDWARE-SOFTWARE M"
"111","METODOLOGIE DI PROGETTAZIONE HARDWARE E SOFTWARE M"
"112","MICROELETTRONICA M"
"113","MOBILITA' INTERNAZIONALE 1"
"114","MOBILITA' INTERNAZIONALE 10"
"115","MOBILITA' INTERNAZIONALE 11"
"116","MOBILITA' INTERNAZIONALE 12"
"117","MOBILITA' INTERNAZIONALE 13"
"118","MOBILITA' INTERNAZIONALE 14"
"119","MOBILITA' INTERNAZIONALE 15"
"120","MOBILITA' INTERNAZIONALE 2"
"121","MOBILITA' INTERNAZIONALE 3"
"122","MOBILITA' INTERNAZIONALE 4"
"123","MOBILITA' INTERNAZIONALE 5"
"124","MOBILITA' INTERNAZIONALE 6"
"125","MOBILITA' INTERNAZIONALE 7"
"126","MOBILITA' INTERNAZIONALE 8"
"127","MOBILITA' INTERNAZIONALE 9"
"128","MODELLI E  SISTEMI CONCORRENTI"
"129","MODELLI E METODI PER IL SUPPORTO ALLE DECISIONI M"
"130","MULTIMEDIA SERVICES AND APPLICATIONS M"
"131","NUOVE TECNOLOGIE E DIRITTO M"
"132","OTTIMIZZAZIONE DELLE RISORSE M"
"133","OTTIMIZZAZIONE SU RETI M"
"134","PRINCIPLES OF MANAGEMENT"
"135","PROCESSI E TECNICHE DI DATA MINING M"
"136","PROGETTO DI CIRCUITI ANALOGICI M - A"
"137","PROGRAMMAZIONE CONCORRENTE E DISTRIBUITA M"
"138","PROTOCOLS AND ARCHITECTURES FOR SPACE NETWORKS M"
"139","PROVA FINALE"
"140","PROVA FINALE M"
"141","PROVA FINALE M INTEGRATA"
"142","RETI DI CALCOLATORI L-A"
"143","RETI DI CALCOLATORI M"
"144","RETI DI TELECOMUNICAZIONI M"
"145","RETI E TELETRAFFICO M"
"146","RICERCA OPERATIVA M"
"147","ROBOTICA INDUSTRIALE L-A"
"148","ROBOTICA INDUSTRIALE M"
"149","SICUREZZA DELL'INFORMAZIONE M"
"150","SISTEMI A MICROPROCESSORE M"
"151","SISTEMI DI CONTROLLO DISTRIBUITO M"
"152","SISTEMI DI ELABORAZIONE DELL'INFORMAZIONE M"
"153","SISTEMI DIGITALI M"
"154","SISTEMI DISTRIBUITI M"
"155","SISTEMI E APPLICAZIONI MULTIMEDIALI"
"156","SISTEMI IN TEMPO REALE M"
"157","SISTEMI INFORMATIVI"
"158","SISTEMI INFORMATIVI AVANZATI M"
"159","SISTEMI INFORMATIVI E BUSINESS INTELLIGENCE (C.I.)"
"160","SISTEMI INFORMATIVI L-A"
"161","SISTEMI INFORMATIVI L-B (6 CFU)"
"162","SISTEMI INFORMATIVI M"
"163","SISTEMI INTELLIGENTI M"
"164","SISTEMI MIDDLEWARE"
"165","SISTEMI MIDDLEWARE E MOBILI (C.I.)"
"166","SISTEMI MOBILI"
"167","SISTEMI MOBILI M"
"168","SISTEMI NEURALI M"
"169","SISTEMI OPERATIVI M"
"170","TECNOLOGIE DELLE BASI DI DATI M"
"171","TECNOLOGIE PER LA SICUREZZA M"
"172","TECNOLOGIE WEB L-A"
"173","TECNOLOGIE WEB T"
"174","TEORIA DELL'INFORMAZIONE M"
"175","TIROCINIO M"
